Nome Produto: ;Smartphone Samsung Galaxy J7 Prime Dual Chip Android Tela 5.5" 32GB 4G Câmera 13MP - Dourado
Preco: ;R$ 2.399,99
Código: ;125916485
Código de barras: ;7892509086936, 7892509086998
Marca: ;Samsung
Modelo: ;SM-G930F
Cor: ;Preto
Tipo de Chip: ;Nano Chip
Quantidade de Chips: ;Single Chip
Memória Interna: ;32GB
Memória RAM: ;4GB
Processador: ;Octa-Core 2.3GHz + 1.6GHz
Sistema Operacional: ;Android
Versão: ;Android 6.0
Tipo de tela: ;Super AMOLED
Tamanho do Display: ;5.1"
Resolução: ;2560x1440 (Quad HD)
Câmera traseira: ;12MP
Câmera frontal: ;5MP
Filmadora: ;Full HD
Expansivo até: ;MicroSD até 200GB
Alimentação/Tipo de bateria: ;3600 mAh, Ions de Litio
Banda: ;GSM: 850/900/1800/1900; 3G: 850/900/1900/2100/AWS; LTE: B1 (2100), B2 (1900), B3 (1800), B4 (AWS), B5 (850), B7 (2600), B8 (900), B12 (700), B13 (700), B17 (700), B18 (800), B19 (800), B20 (800), B25 (1900), B26 (800), B28 (700)
Conectividade: ;Wi-Fi, 3G, 4G
NFC: ;Sim
TV: ;Digital
Recursos de Chamada: ;Espera de Chamada, Viva Voz
Outros Recursos: ;'1. Camera Dual Pixel de 12MP (traseira) e 5MP (frontal) e abertura f/1.7;'2. Acabamento em metal e vidro 3D, com tela curva de 5.1¨;'3. Processador Octa-Core 2.3GHz + 1.6GHz; '4. Proteção IP68; '5. Suporte a cartão de memória de até 200GB;'6. API Vulkan para melhor performance gráfica em jogos. Acelerômetro, Barômetro, Sensor de Impressão Digital, Giroscópio, Geo Magnético, Sensor de Efeito Hall, Sensor HR, Sensor de Proximidade, Sensor de Luz RGB
Conteúdo da Embalagem: ;1 Aparelho, 1 Carregador, 1 Bateria, 1 Cabo USB, 1 Fone de Ouvido e Adaptador de USB
Dimensões aproximadas do produto - cm (AxLxP): ;142,4x69,6x7,9cm
Peso líq. aproximado do produto (kg): ;152g
Garantia do Fornecedor: ;12 Meses
Referência do modelo: ;SM-G930F
Fornecedor: ;Samsung Eletrônica da Amazonia
SAC: ;São Paulo 4004 0000 Outros Estados 0800 124 421



Nome Produto: ;Smartphone Samsung Galaxy J7 Prime Dual Chip Android Tela 5.5" 32GB 4G Câmera 13MP - Dourado
Preco: ;R$ 2.399,99
Código: ;125916485
Código de barras: ;7892509086936, 7892509086998
Marca: ;Samsung
Modelo: ;SM-G930F
Cor: ;Preto
Tipo de Chip: ;Nano Chip
Quantidade de Chips: ;Single Chip
Memória Interna: ;32GB
Memória RAM: ;4GB
Processador: ;Octa-Core 2.3GHz + 1.6GHz
Sistema Operacional: ;Android
Versão: ;Android 6.0
Tipo de tela: ;Super AMOLED
Tamanho do Display: ;5.1"
Resolução: ;2560x1440 (Quad HD)
Câmera traseira: ;12MP
Câmera frontal: ;5MP
Filmadora: ;Full HD
Expansivo até: ;MicroSD até 200GB
Alimentação/Tipo de bateria: ;3600 mAh, Ions de Litio
Banda: ;GSM: 850/900/1800/1900; 3G: 850/900/1900/2100/AWS; LTE: B1 (2100), B2 (1900), B3 (1800), B4 (AWS), B5 (850), B7 (2600), B8 (900), B12 (700), B13 (700), B17 (700), B18 (800), B19 (800), B20 (800), B25 (1900), B26 (800), B28 (700)
Conectividade: ;Wi-Fi, 3G, 4G
NFC: ;Sim
TV: ;Digital
Recursos de Chamada: ;Espera de Chamada, Viva Voz
Outros Recursos: ;'1. Camera Dual Pixel de 12MP (traseira) e 5MP (frontal) e abertura f/1.7;'2. Acabamento em metal e vidro 3D, com tela curva de 5.1¨;'3. Processador Octa-Core 2.3GHz + 1.6GHz; '4. Proteção IP68; '5. Suporte a cartão de memória de até 200GB;'6. API Vulkan para melhor performance gráfica em jogos. Acelerômetro, Barômetro, Sensor de Impressão Digital, Giroscópio, Geo Magnético, Sensor de Efeito Hall, Sensor HR, Sensor de Proximidade, Sensor de Luz RGB
Conteúdo da Embalagem: ;1 Aparelho, 1 Carregador, 1 Bateria, 1 Cabo USB, 1 Fone de Ouvido e Adaptador de USB
Dimensões aproximadas do produto - cm (AxLxP): ;142,4x69,6x7,9cm
Peso líq. aproximado do produto (kg): ;152g
Garantia do Fornecedor: ;12 Meses
Referência do modelo: ;SM-G930F
Fornecedor: ;Samsung Eletrônica da Amazonia
SAC: ;São Paulo 4004 0000 Outros Estados 0800 124 421



Nome Produto: ;Smartphone Samsung Galaxy J7 Prime Dual Chip Android Tela 5.5" 32GB 4G Câmera 13MP - Dourado
Preco: ;R$ 2.399,99
Código: ;125916485
Código de barras: ;7892509086936, 7892509086998
Marca: ;Samsung
Modelo: ;SM-G930F
Cor: ;Preto
Tipo de Chip: ;Nano Chip
Quantidade de Chips: ;Single Chip
Memória Interna: ;32GB
Memória RAM: ;4GB
Processador: ;Octa-Core 2.3GHz + 1.6GHz
Sistema Operacional: ;Android
Versão: ;Android 6.0
Tipo de tela: ;Super AMOLED
Tamanho do Display: ;5.1"
Resolução: ;2560x1440 (Quad HD)
Câmera traseira: ;12MP
Câmera frontal: ;5MP
Filmadora: ;Full HD
Expansivo até: ;MicroSD até 200GB
Alimentação/Tipo de bateria: ;3600 mAh, Ions de Litio
Banda: ;GSM: 850/900/1800/1900; 3G: 850/900/1900/2100/AWS; LTE: B1 (2100), B2 (1900), B3 (1800), B4 (AWS), B5 (850), B7 (2600), B8 (900), B12 (700), B13 (700), B17 (700), B18 (800), B19 (800), B20 (800), B25 (1900), B26 (800), B28 (700)
Conectividade: ;Wi-Fi, 3G, 4G
NFC: ;Sim
TV: ;Digital
Recursos de Chamada: ;Espera de Chamada, Viva Voz
Outros Recursos: ;'1. Camera Dual Pixel de 12MP (traseira) e 5MP (frontal) e abertura f/1.7;'2. Acabamento em metal e vidro 3D, com tela curva de 5.1¨;'3. Processador Octa-Core 2.3GHz + 1.6GHz; '4. Proteção IP68; '5. Suporte a cartão de memória de até 200GB;'6. API Vulkan para melhor performance gráfica em jogos. Acelerômetro, Barômetro, Sensor de Impressão Digital, Giroscópio, Geo Magnético, Sensor de Efeito Hall, Sensor HR, Sensor de Proximidade, Sensor de Luz RGB
Conteúdo da Embalagem: ;1 Aparelho, 1 Carregador, 1 Bateria, 1 Cabo USB, 1 Fone de Ouvido e Adaptador de USB
Dimensões aproximadas do produto - cm (AxLxP): ;142,4x69,6x7,9cm
Peso líq. aproximado do produto (kg): ;152g
Garantia do Fornecedor: ;12 Meses
Referência do modelo: ;SM-G930F
Fornecedor: ;Samsung Eletrônica da Amazonia
SAC: ;São Paulo 4004 0000 Outros Estados 0800 124 421



Nome Produto: ;Smartphone Samsung Galaxy J7 Prime Dual Chip Android Tela 5.5" 32GB 4G Câmera 13MP - Dourado
Preco: ;R$ 2.399,99
Código: ;125916485
Código de barras: ;7892509086936, 7892509086998
Marca: ;Samsung
Modelo: ;SM-G930F
Cor: ;Preto
Tipo de Chip: ;Nano Chip
Quantidade de Chips: ;Single Chip
Memória Interna: ;32GB
Memória RAM: ;4GB
Processador: ;Octa-Core 2.3GHz + 1.6GHz
Sistema Operacional: ;Android
Versão: ;Android 6.0
Tipo de tela: ;Super AMOLED
Tamanho do Display: ;5.1"
Resolução: ;2560x1440 (Quad HD)
Câmera traseira: ;12MP
Câmera frontal: ;5MP
Filmadora: ;Full HD
Expansivo até: ;MicroSD até 200GB
Alimentação/Tipo de bateria: ;3600 mAh, Ions de Litio
Banda: ;GSM: 850/900/1800/1900; 3G: 850/900/1900/2100/AWS; LTE: B1 (2100), B2 (1900), B3 (1800), B4 (AWS), B5 (850), B7 (2600), B8 (900), B12 (700), B13 (700), B17 (700), B18 (800), B19 (800), B20 (800), B25 (1900), B26 (800), B28 (700)
Conectividade: ;Wi-Fi, 3G, 4G
NFC: ;Sim
TV: ;Digital
Recursos de Chamada: ;Espera de Chamada, Viva Voz
Outros Recursos: ;'1. Camera Dual Pixel de 12MP (traseira) e 5MP (frontal) e abertura f/1.7;'2. Acabamento em metal e vidro 3D, com tela curva de 5.1¨;'3. Processador Octa-Core 2.3GHz + 1.6GHz; '4. Proteção IP68; '5. Suporte a cartão de memória de até 200GB;'6. API Vulkan para melhor performance gráfica em jogos. Acelerômetro, Barômetro, Sensor de Impressão Digital, Giroscópio, Geo Magnético, Sensor de Efeito Hall, Sensor HR, Sensor de Proximidade, Sensor de Luz RGB
Conteúdo da Embalagem: ;1 Aparelho, 1 Carregador, 1 Bateria, 1 Cabo USB, 1 Fone de Ouvido e Adaptador de USB
Dimensões aproximadas do produto - cm (AxLxP): ;142,4x69,6x7,9cm
Peso líq. aproximado do produto (kg): ;152g
Garantia do Fornecedor: ;12 Meses
Referência do modelo: ;SM-G930F
Fornecedor: ;Samsung Eletrônica da Amazonia
SAC: ;São Paulo 4004 0000 Outros Estados 0800 124 421



